Fecha;TOTAL;Alternaria
9   Nov.;0;0
10 Nov.;0;0
11 Nov.;4;0
12 Nov.;2;0
13 Nov.;4;1
14 Nov.;3;0
15 Nov.;0;0
16 Nov.;0;0
17 Nov.;2;0
18 Nov.;4;1
19 Nov.;12;1
20 Nov.;9;0
21 Nov.;2;0
22 Nov.;0;0
23 Nov.;0;0
24 Nov.;0;0
25 Nov.;1;0
26 Nov.;2;0
27 Nov.;2;0
28 Nov.;0;1
29 Nov.;0;0
30 Nov.;0;0
1   Dic.;0;0
2   Dic.;4;0
3   Dic.;4;0
4   Dic.;0;0
5   Dic.;0;0
6   Dic.;0;0
7   Dic.;0;0
8   Dic.;0;0
9   Dic.;0;0
10 Dic.;4;0
11 Dic.;2;0
12 Dic.;52;0
13 Dic.;6;0
14 Dic.;6;0
15 Dic.;3;0
16 Dic.;3;0
17 Dic.;13;0
18 Dic.;9;0
19 Dic.;5;0
20 Dic.;18;0
21 Dic.;21;1
22 Dic.;33;0
23 Dic.;12;0
24 Dic.;16;0
25 Dic.;4;0
26 Dic.;23;0
27 Dic.;73;0
28 Dic.;36;0
29 Dic.;19;0
30 Dic.;116;0
31 Dic.;151;0
1-ene;;
2-ene;;
